Innehåll,Videotitel,Publiceringstid för video,Längd,Visningar,Visningstid (timmar),Prenumeranter,Exponeringar,Klickfrekvens för exponeringar (%)
Totalt,,,,32410,2453.4128,437,699276,1.56
83iMf1MSRLk,xlwings lite demo - creating a dashboard in excel using python,"Jun 26, 2025",819,1241,52.4167,24,13013,5.24
rkLzMLhCBiI,Styling streamlit with CSS,"Sep 5, 2024",2628,675,41.7205,16,4607,9.18
7I6Xv423aGw,Setting up dbt and connection to duckdb from scratch,"Apr 5, 2025",1598,566,54.1869,5,9543,2.37
0tnq9eLNNWM,[ARCHIVED] DBeaver connect with DuckDB with SQL introduction,"Nov 8, 2024",1379,561,33.707,2,5231,4.97
EZ3MLmyhw68,Modern data stack project - introduction and pipeline overview,"Apr 20, 2025",455,455,11.9338,9,7282,2.77
xSAvbH_v1R4,Building a CSV Data API with FastAPI and Pandas,"Aug 6, 2025",2148,449,34.7428,10,9864,2.3
CGfrmZcfXJE,Modern data stack - automating dlt and dbt pipeline with dagster,"Sep 27, 2025",3001,436,49.6812,8,5884,2.94
JUOV2Boj52Y,Line chart in Taipy part 1,"May 28, 2025",1118,422,18.9368,4,5396,1.82
 -PxkR3kCOI0,Taipy introduction,"May 3, 2025",2005,380,38.8317,2,4650,3.12
ZnDmTGgYMn0,Building a Streamlit Frontend for FastAPI & Scikit Learn Model,"Aug 15, 2025",1191,357,17.0481,6,7515,2.67
CPuyUvnqEi4,FastAPI and scikit-learn tutorial to create an API to serve a random forest classifier,"Aug 14, 2025",1706,348,23.4258,11,7358,2.27
b9VMLSXKHwk,Setup duckdb and dbeaver (coding),"Sep 15, 2024",1413,346,26.3417,3,2162,6.66
MSuMzOnZNno,"Creating a chatbot in Excel to chat with your data using xlwings lite, Python and LLM","Sep 5, 2025",1820,324,15.2758,5,5000,3.62
Sy0GxQ4xlgU,Modern data stack project - using dlt to extract and load data from API into duckdb warehouse,"Apr 22, 2025",1361,313,22.4423,2,8801,1.89
4uJSbC9AVxk,Building a pipeline to stream cryptocurrency data using Kafka and sinking to postgres SQL,"Feb 5, 2025",2352,309,43.2056,4,10634,0.78
pqRebLFbmwI,"Setting up Apache Kafka using docker compose, then exploring broker and control center","Jan 25, 2025",514,303,11.2006,1,4705,3.19
hF97XR-Um2s,Python fundamemtals part 1 (coding),"Dec 20, 2024",3111,291,39.7214,4,4642,0.71
qktFiYMYXbQ,data load tool (dlt) to load CSV file into DuckDB and exploring the data with DuckDB local UI,"Mar 30, 2025",1450,289,21.5628,2,9563,1.35
oqjH_YUAVDE,Using Pydantic to structure output from Gemini,"Aug 29, 2025",1421,275,16.4955,1,10989,1.41
i454nHjdMAc,Setup snowflake and snowsql,"Aug 17, 2024",1624,274,29.4742,1,1486,5.25
cjNKTv8xsQA,Modern data stack project - dbt setup and creating sources,"Apr 20, 2025",1935,255,22.3061,1,4489,1.94
Hf1ryX3dryg,Kafka streaming cryptocurrency data and serving a live dashboard in streamlit,"Feb 8, 2025",1075,252,16.0757,4,4175,1.44
eDcbZDGk2W0,Exploring public transport data from trafiklab API,"Jan 6, 2025",2191,250,20.1322,1,5817,1.34
_Xw4Uta7r_k,Deploy React App to Azure Static Web App,"Sep 20, 2025",781,249,13.9193,2,2455,5.5
eb95PyK1GJI,"Modern data stack   dockerize dagster, dlt, dbt, duckdb, streamlit data pipeline","Oct 10, 2025",1556,246,12.7429,3,5524,2.5
Jqp9Gedl0Cc,Taipy dashboard for vocational education applications part1 - EDA,"May 3, 2025",1034,244,12.5173,2,4551,2.24
h4DnfiW7Ums,Modern data stack project - dbt dimensions and facts,"Apr 20, 2025",1385,240,16.6134,3,12114,1
ZkCupZRICUU,Taipy dashboard for vocational education applications part 3 - Refactoring and packaging dashboard,"May 11, 2025",2182,237,17.1503,0,2937,4.46
aYGcrrFshrs,Modern data stack using dbt modeling with Snowflake,"Sep 7, 2025",2930,237,31.9322,2,1699,4.06
x7nBYaWXHBk,Python fundamentals part 2 (coding),"Dec 25, 2024",3376,232,32.3486,3,8840,0.51
z3ihUI6N-tg,[ARCHIVED] Introduction to SQL and duckdb (theory),"Nov 7, 2024",795,232,12.509,9,1894,2.01
KOn6XRDrT8s,Setup dlt part 3 - loading csv file into snowflake (coding),"Aug 18, 2024",1000,231,13.0192,1,789,10.77
YKNCZ_AM-R0,Introduction to FastAPI  Building APIs with Python,"Sep 6, 2025",725,228,6.8661,1,13260,1.11
luhgl9CpuQU,[ARCHIVED] Querying data in DuckDB SQL (coding),"Nov 8, 2024",1387,224,22.0781,0,2367,2.7
FumJcNrip9A,"Modern data stack   dagster to orchestrate dlt, dbt and duckdb data pipeline","Oct 9, 2025",1017,218,11.7416,0,4676,2.03
mneNRn0H6Ho,[ARCHIVED] DuckDB CLI to ingest data from csv file,"Nov 8, 2024",779,217,14.7573,1,1325,2.49
xJFyZCtdXaQ,Dimensional modeling in dbdiagram hospital example (coding),"Aug 24, 2024",792,215,10.3186,0,1477,7.52
svD4gk40pcg,Building an AI Chatbot with PydanticAI and Taipy Frontend - A Step by Step Guide,"Aug 8, 2025",1597,209,14.5917,4,7930,1.56
76l729ER8qU,Pandas reading from excel file and processing it,"Dec 30, 2024",2155,208,32.5097,1,6933,0.56
UN0AfYZKD1o,Modern data stack project - dashboard with streamlit to connect duckdb,"Jun 10, 2025",1805,201,13.9008,0,3334,2.67
fo_C6MSmtkQ,Postgresql using docker compose and exploring some data inside container,"Feb 1, 2025",1622,197,22.6781,0,7572,0.55
L7xfKPQLgTA,Deploy dockerized react web app into azure app service via azure container registry,"Jul 12, 2025",927,196,13.2629,3,2648,3.89
060WlhMJ5Ys,Streamlit dashboard crash course,"Feb 8, 2025",1751,195,22.7483,0,4253,1.29
3zrs7CBPjaE,Modern data stack - Using data load tool (dlt) to ingest CSV data into Snowflake,"Aug 30, 2025",2218,194,20.8475,2,2615,2.41
 --I5p8mJCEY,Pandas series and dataframe (coding),"Dec 27, 2024",1621,193,26.2623,2,4376,0.71
hheq0d0NRj8,Building a CRUD API Using FastAPI in Python,"Sep 6, 2025",2040,192,16.0876,2,4536,2.38
FBichC1YtSg,Digitala arbetsplats intro,,286,189,6.3497,1,72,2.78
u4map_3j9LA,Setup dlt part 1 (coding),"Aug 18, 2024",476,182,10.0087,0,937,7.36
4Ex0DCqNHDg,Taipy dashboard for vocational education applications part2 - building the dashboard,"May 4, 2025",2329,180,20.4471,2,3705,2.19
v8HbNx4YrA8,Input and output in python,"Jun 12, 2025",753,173,14.9915,1,1640,1.46
zCgVu9j2fMc,CI/CD of a streamlit app to streamlit cloud,"Jan 29, 2025",741,171,6.8956,1,5561,0.74
Ds1S725l_EE,Setting up docker on windows,"Jan 19, 2025",659,164,9.739,0,3711,0.67
HB6Y8eMQ8w0,Extract load api part 1 - exploring jobtech API for job ads (coding),"Aug 24, 2024",954,163,13.961,1,598,4.18
NX19Yz2_S0Y,Setup and getting started with git and github,"Jun 12, 2025",1026,162,18.6855,0,4079,0.76
eVBC8DiR8N0,Navigating Azure Architecture: A Beginner's Guide,"Jul 13, 2025",521,161,6.2207,1,5141,0.86
x9AyMOVAtV4,Data warehouse intro,"Aug 17, 2024",885,161,7.8702,5,669,2.24
5vOYVLmj9tg,Containerize a python Taipy application and deploy it to Azure web app,"Jul 4, 2025",1450,160,10.5292,2,8246,0.67
IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",1329,158,18.6536,1,524,3.05
m4zrj5ZUWs4,Data load tool to extract and load data (theory),"Aug 17, 2024",313,156,6.2194,0,764,3.8
zm79cZboFi4,Python fundamentals part 3 - OOP (coding),"Dec 26, 2024",1489,156,15.3711,1,7902,0.51
NZlaNhDUqOE,Snowflake role hierarchy (theory),"Aug 17, 2024",440,155,8.2816,2,1161,6.98
5fur2ZTonDQ,Modern data stack   using dlt to extract and load api data to snowflake,"Aug 31, 2025",2172,153,16.0522,2,1526,2.82
dteU94PSNoQ,Installing python on windows,"Feb 2, 2025",413,152,6.7481,0,1672,0.6
3K85fZ0Ak9o,Streamlit dashboard job ads (coding),"Sep 2, 2024",2419,149,20.6633,0,430,3.26
WNdsLWiyJ-I,Building a skeleton and packaging a fullstack ML/data project,"Sep 15, 2025",1656,148,11.5048,3,4827,1.41
OUYjIyc9860,python introduction - motivation and roadmap,"Jun 13, 2025",376,144,5.289,2,1853,1.3
2vvHu06wM4g,Chatbot using eden AI API part 1,"Sep 8, 2024",1247,143,6.2443,2,786,10.05
cPO_NjMBecc,Producer and consumer in Kafka locally using quixstreams,"Jan 26, 2025",1966,140,20.5679,0,1599,2.25
mSU5vZTbS9s,Matplotlib annotate anywhere with arrows and labels,"Apr 13, 2025",2081,140,13.1588,0,2197,1.32
6NkioZTYDlA,Modern data stack   deploy dockerized data pipeline to Azure part 1,"Oct 11, 2025",1974,138,13.0961,2,2759,2.03
Ei66WLCs0aw,Understanding the Theory and Intuition Behind Large Language Models,"Jul 31, 2025",922,138,4.3394,3,13115,0.6
J_YfAxcO1EE,Github actions with Python continuous integration and pre-commit,"Jan 22, 2025",1574,137,10.8681,0,7574,0.48
SoQuhecC3Z4,[ARCHIVED] First navigation of DuckDB (theory),"Nov 7, 2024",358,137,5.9509,1,975,3.18
trBRcwSO7_8,[ARCHIVED] Generating synthetic data using DuckDB SQL (coding),"Nov 14, 2024",1316,135,16.0785,0,2689,1.15
MAMW3cUWQrs,Role based access control (RBAC) in snowflake,"Aug 29, 2025",1904,133,12.5128,1,2405,1.79
yeRYOJyi7_c,Pydantic basics for data validation,"Jun 25, 2025",1104,132,10.3024,1,8298,0.67
g-wRTFf6zuM,Introduction to cloud computing with Azure,"Jul 12, 2025",1001,131,11.5067,4,4730,0.72
71RFbcWXh7Y,SQL injection example with postgres and python and how to protect,"Mar 23, 2025",1453,130,5.8802,1,6412,0.62
0CgPv6UctuU,Preboardingkurs introduktion,,895,129,13.8905,7,2,50
qdTSora1Nbs,[ARCHIVED] Dbeaver navigation (theory),"Nov 7, 2024",488,128,6.0887,0,780,1.79
V2CEc9tCHxM,Setup roles and user in snowflake for dbt modeling job ads (coding),"Aug 26, 2024",1028,126,11.1794,0,436,2.98
dfFkIG0TagM,Joins in SQL DuckDB to combine rows between several tables (coding),"Nov 23, 2024",1488,125,12.6252,0,4605,0.96
eohHTUU0RII,dlt to extract and load from api to snowflake (theory),"Aug 17, 2024",107,125,1.8084,0,496,8.87
f4IK-8EiXxA,Pandas dealing with missing data,"Jan 2, 2025",2031,124,21.8259,0,3901,0.46
Y5IxtZ5EARg,An introduction to Apache Kafka and event streaming,"Jan 26, 2025",491,123,5.1058,0,1185,1.27
ZMNRnMhWSgY,Logical and physical data modeling for rdbms,"Mar 9, 2025",915,123,10.0213,0,6067,0.54
3brJ9j5B_A8,Principles of data storytelling and applied with matplotlib,"Feb 28, 2025",2424,122,16.0671,1,4799,0.94
SNe4yH8DzqQ,[ARCHIVED] Querying data in DuckDB with SELECT statements (theory),"Nov 7, 2024",526,122,7.4104,0,844,1.66
0w-V8hGgD-A,[ARCHIVED] FIltering data in DuckDB (coding),"Nov 9, 2024",1689,120,13.7843,1,3488,0.89
lAckpoLox5g,Docker fundamentals coding part,"Jan 19, 2025",1420,119,15.302,0,2902,0.9
-9y2Jw-ETZA,[ARCHIVED] Course structure for modern SQL with DuckDB,"Nov 8, 2024",490,117,5.3925,0,800,2.88
3_ZZ80Symjc,Packaging a python project so that you can pip install it,"Jan 12, 2025",1929,116,12.6113,0,3802,0.87
BQhLyP6sqC8,Load csv file into duckdb,"Sep 15, 2024",639,116,3.7147,0,279,7.17
gwDt5IxPfZg,Deploy a FastAPI API That Serves CSV File Into Azure Functions Serverless Computing Tutorial,"Aug 11, 2025",1340,116,7.1097,1,2658,2.18
S8k4ta6PRa0,Lärplattform del 1,,243,115,3.8587,0,73,1.37
KLjq2_Am8xM,Terraform to deploy Taipy dashboard to Azure web apps,"Jul 4, 2025",1050,114,5.3144,0,3496,1.52
VPzzKysvLC8,Introduction to Linear Regression: Theory and Intuition,"Jul 22, 2025",901,114,6.3721,2,3683,1.36
Ll5-jWDMQ7o,Linear Regression in Python: Hands-on Beginner's Guide,"Jul 23, 2025",1400,113,11.4209,1,3789,1.06
jVyI5SpH2x8,Filsystem i windows,,723,113,9.0413,0,66,6.06
q2zMm1eZhRI,Introduction to data modeling,"Mar 1, 2025",651,113,6.1783,0,2566,1.68
E9QmOxzdh6g,Ingest csv file into duckdb,"Mar 21, 2025",537,112,5.6064,0,4242,0.64
xWu_ThphnSk,Plotly express fundamentals,"Apr 25, 2025",1797,112,12.3441,0,4991,1.06
NdM4iYw37B8,Setup dlt part 2 - setup users and roles (coding),"Aug 18, 2024",667,111,6.8796,0,524,6.11
aiYLvu6h0dM,dbt transformations of job ads part 1 (coding),"Aug 26, 2024",2212,111,13.8004,0,407,4.42
7DUrBs5q6kM,[ARCHIVED] Working with strings in SQL and DuckDB (coding),"Nov 14, 2024",1502,110,11.6597,0,3763,0.64
nA4Hs08EOTI,Implement logical data model in lucidcharts and physical data model in dbdiagram,"Mar 9, 2025",771,110,5.5268,2,2744,1.17
1y8o9UOvcNg,Connecting python to local mongodb with mongo-express UI with docker compose,"Mar 21, 2025",2113,109,10.7795,2,4188,0.93
AZNrn9ihZkw,Random forest for classification hands on tutorial,"Aug 5, 2025",683,109,5.5205,1,2990,2.07
46-Xwx0NhlY,Intro to what is dbt,"Apr 5, 2025",440,108,4.2284,2,2544,1.73
9Ez_sb4wyxc,if statement in python,"Jun 12, 2025",1266,107,13.4582,0,1358,1.84
CrFZVCrRlgU,1 AI för inlärning,,1755,107,15.6672,0,31,9.68
4TgwLKhLoCc,Hands on beginners guide to Azure portal,"Aug 12, 2025",720,105,6.496,2,1721,1.74
Zwfguhx8Ufc,Understanding Azure: Scaling Strategies and Pricing Models,"Jul 13, 2025",803,105,6.6362,1,4149,0.77
bbJDBTAMtm8,git and github theory the very basics,"Jun 13, 2025",356,104,4.8517,1,1592,0.69
fx0jIFbz8YM,Streamlit frontend for PydanticAI chatbot,"Aug 18, 2025",1165,104,4.8964,2,4673,1.39
hps8P9fmfCk,[ARCHIVED] Grouping data in DuckDB (coding),"Nov 14, 2024",1385,104,11.14,1,3658,0.6
7DCFHwe3wI8,Pydantic with Gemini to structure responses in a robust way,"Sep 15, 2025",1185,103,3.4492,2,6653,0.9
ao9mdi3hj7g,python course structure,"Jun 18, 2025",793,103,8.2907,1,2020,0.74
IXEC4rsINj0,Joins in SQL DuckDB to combine rows between several tables,"Nov 23, 2024",444,102,4.9002,0,778,2.7
Lkr6yRUCHbA,What to do when your python don't work on windows,"Feb 2, 2025",409,102,3.8663,0,1905,0.52
k260IXXxyDE,Snowsight navigation,"Aug 17, 2024",430,102,6.0795,0,750,1.87
sFVInrS7rcA,Fysiska arbetsplatsen,,995,102,12.2514,0,74,6.76
