Innehåll,Videotitel,Publiceringstid för video,Längd,Visningar,Visningstid (timmar),Prenumeranter,Exponeringar,Klickfrekvens för exponeringar (%)
dzI71WhlOpU,Data warehouse lifecycle course structure part 1,"Aug 18, 2024",498,101,4.6722,0,621,3.54
jIRAEdnNin0,Introduction to python and learning roadmap (theory),"Dec 22, 2024",694,100,4.0494,0,2623,1.3
5HfMStIvp10,[ARCHIVED] CRUD operations in DuckDB SQL,"Nov 14, 2024",1633,99,14.873,0,2118,0.99
fZYi9gPWQcw,Matplotlib fundamentals - bar chart and line chart from dataframe,"Apr 12, 2025",1744,98,16.1686,0,1713,1.4
8mTl3wUrBME,Using xlwings lite to create a time planner  for consultiing time part 1 - track holidays,"Aug 21, 2025",1532,97,5.3187,1,2921,2.16
_jCu5YtTg0s,Data storytelling with matplotlib using mplstyle to reuse styling,"Apr 24, 2025",2578,97,12.9473,0,1675,1.79
d-aejWLUDOw,Modern data stack   deploy dockerized BI dashboard into Azure web app - part 2,"Oct 13, 2025",918,97,5.0602,1,646,3.25
t1dSZNCBIhQ,2. Olika AI-verktyg för inlärning,,1022,97,9.5014,0,12,25
t6Fx8Q_sS2k,Data storytelling on bar chart using matplotlib,"Apr 21, 2025",1827,97,6.2707,2,3571,0.73
UE8wAHXRuJw,[ARCHIVED] Set operations in DuckDB part 1,"Nov 21, 2024",1079,96,9.3101,0,2550,0.51
mIERG2Rck48,Git and github in team - part 1 theory,"Feb 7, 2025",706,96,5.1363,0,4304,0.56
wVneS4Akh9I,Faktorer och nollställen Matte 3C,"Sep 16, 2019",314,96,3.0941,0,1457,3.91
g0mXYwa2mCI,Docker compose and volumes theory,"Jan 19, 2025",451,95,3.8021,1,5282,0.66
0Oghy4yaprM,OOP properties and inheritance in Python,"Jun 19, 2025",1222,94,12.025,0,2246,0.71
bn6Mcq2GmWE,Using plotly graph objects to create spider chart and choropleth map of Sweden,"Apr 27, 2025",3153,94,14.7764,1,1048,2.58
t4Uqh2MpIsQ,0 AI modul intro,,173,94,2.6283,1,34,8.82
cyHgd3X972o,Inlärningssystemet intro,,634,92,7.9658,0,61,3.28
ASMWOJFJyQI,Understanding Overfitting and Underfitting through Polynomial Regression: Hands-On Tutorial,"Jul 24, 2025",1417,91,4.2307,4,11468,0.52
3R9w1hbh1PY,Docker compose intro coding,"Jan 20, 2025",417,90,4.1099,1,6331,0.3
woVKB99-KFg,[ARCHIVED] Course structure for modern SQL with DuckDB part 2 - github repository,"Nov 8, 2024",352,90,3.842,2,1389,1.66
W_kr4kHJ-MI,strings in python,"Jun 13, 2025",970,89,8.2641,0,2301,0.78
fhwdKmp_7S8,Virtual warehouse in snowflake (coding),"Aug 17, 2024",400,88,4.0719,0,437,3.2
rrsYbcmqbFs,Hands On Guide to XGBoost with Bayesian Optimization,"Aug 5, 2025",991,88,3.3044,1,2098,2.14
1ZbENwngpKA,Different types of data and databases,"Mar 1, 2025",585,87,6.5845,1,1545,1.04
IZSMXad4xTY,Hands On KMeans Clustering Tutorial with Python & Scikit Learn,"Aug 13, 2025",1326,87,6.0356,0,5338,0.96
W0FmFvB41nk,Data storytelling - turning exploratory data analysis into explanatory,"Apr 10, 2025",930,87,6.4896,2,1523,2.36
oM0MKB-TAKI,[ARCHIVED] CRUD operations in DuckDB (theory),"Nov 7, 2024",324,87,3.9307,0,1195,1
xhKESecuVz0,[ARCHIVED] Filtering data using DuckDB (theory),"Nov 7, 2024",362,87,4.4917,0,953,2.1
8BIT7RuZ0fk,Plotly express for interactive charting,"Feb 20, 2025",1532,86,9.688,0,5939,0.42
YZxZt7plGyI,Data processing course structure (theory),"Dec 24, 2024",555,86,3.3635,1,4258,0.52
mMJKWOg3nS4,What is dbt (theory),"Aug 26, 2024",427,86,4.7546,1,411,2.92
a4C5KIqj55M,Data platform course introduction,"Jan 4, 2025",536,85,3.8731,1,6192,0.42
gCDTvdt_wgs,OOP encapsulation in Python,"Jun 18, 2025",862,85,9.8039,1,3858,0.54
iEuB7TyarlQ,Turn business requirements into conceptual ER model using lucidcharts,"Mar 2, 2025",1089,85,5.8474,0,3153,0.98
pV7myOaTRZ4,Conceptual ERD to capture business requirements and business rules,"Mar 1, 2025",1272,84,10.4943,0,2536,0.75
GLHNqVYufsw,Normalisation in data modeling RDBMS,"Mar 15, 2025",1279,83,8.2544,1,2328,0.95
KkmrVSbMap8,Snowflake introduction (theory),"Aug 17, 2024",796,82,7.0784,0,443,2.71
RC6ooyXw6RE,OOP fundamentals in python,"Jun 18, 2025",932,82,9.3123,2,2761,0.72
zEIntpFCv2c,Bokmärken och flikar,,376,82,4.5302,0,62,4.84
BcDfBkY6hXc,SQL repetition in snowflake using snowflake marketplace (coding),"Aug 17, 2024",1855,81,12.0981,1,502,2.39
CCqQF7LZVqI,Course structure for data platforms,"Jan 4, 2025",547,81,3.2064,1,4632,0.39
TrLrobmqzKQ,Roles and privileges in snowflake (coding),"Aug 17, 2024",1645,81,9.5029,0,587,3.58
PEmcikWd93o,Extract load API part 3 - dlt to load from jobtech (coding),"Aug 24, 2024",1417,79,9.2955,0,460,5
GRGPnSTCTFI,dbt testing job ads data (coding),"Aug 30, 2024",1252,78,9.0399,0,344,2.62
LfOnwczge14,[ARCHIVED] Generating synthetic data using DuckDB (theory),"Nov 7, 2024",307,78,3.3205,1,1148,1.48
Bjr7FaZj52w,while statement in python,"Jun 12, 2025",725,77,6.7351,0,1230,2.03
WzIc1UWzaXc,[ARCHIVED] Set operations in DuckDB (theory),"Nov 23, 2024",458,77,5.0554,1,1029,2.14
u5hU0KTvNnc,Kafkas publish-subscribe model with producer and consumer,"Jan 26, 2025",380,77,3.457,0,3988,0.73
6fjd0i_n35c,A gentle introduction to AI,"Jun 26, 2025",1526,76,6.183,0,1895,1.64
lwK1J3W04Bw,Connecting duckdb with Python part 1 (coding),"Sep 16, 2024",853,76,5.8366,0,408,3.43
NY6C8_xCi1w,File handling in python,"Jun 16, 2025",1152,75,7.9349,0,3790,0.55
mJm755odg5U,Multimodalt och socialt lärande,,684,75,5.9854,0,58,5.17
qV6CFJ5i6k4,Gå från överblick till detaljer,,1089,75,10.0141,0,59,8.47
KuJso02epfM,dictionary in python,"Jun 16, 2025",818,74,5.5738,0,1526,1.44
-6qhBr8NE1U,SQL repetition in duckdb - EDA on youtube dataset (coding),"Sep 15, 2024",1451,73,5.1294,0,247,2.43
YGXj6lRGds8,Planera din produktivitet,,1238,73,11.3032,1,60,1.67
D_JY1dkljSs,Data warehouse lifecycle course structure part 2 - github structure,"Aug 18, 2024",473,72,2.7797,0,495,4.04
E88-G-uDxnQ,Dimensional modeling on job ads data (coding),"Aug 24, 2024",1290,72,7.6939,1,503,3.58
K6Wb0Wu-qsA,[ARCHIVED] Set operations in DuckDB part 2,"Nov 22, 2024",1276,72,9.0682,2,1675,0.48
_h-LZQLGhNM,Terraform to create storage container and upload local files to blob storage in Azure,"Oct 14, 2025",1675,70,7.1898,0,1190,1.76
sDpT9I43Crc,LIA series 1 - preboarding and onboarding students,"Oct 19, 2024",822,70,2.0326,0,726,1.93
Q3AOfQXkxWM,Intro to data visualization course,"Apr 12, 2025",681,69,4.8796,1,1542,1.43
Av6wjWjkMAw,Random Forest & XGBoost  Theory and Intuition,"Aug 4, 2025",452,68,3.1869,0,1751,1.77
HMvYN3Vdvao,dbt transformations of job ads part 2 (coding),"Aug 29, 2024",2095,68,6.7794,0,399,1.5
C7ysqi_tZio,Dimensional modeling with star schema (theory),"Aug 17, 2024",810,67,6.1781,0,358,3.07
4JXokxjufKY,lists in python,"Jun 13, 2025",628,65,5.1251,0,788,0.76
EfN1PrpUPyM,"Extract load API part 2 - roles, user and database setup (coding)","Aug 24, 2024",339,65,3.0619,0,496,3.43
vsVP_If9gag,error handling in python,"Jun 16, 2025",733,65,6.0892,0,2096,0.52
0tws8vOwKKQ,dbt documentation of job ads (coding),"Sep 2, 2024",906,64,5.6324,0,424,1.89
qjX5OAlxlXk,[ARCHIVED] Commont table expressions (CTE) in DuckDB,"Nov 29, 2024",580,64,3.8273,0,1126,2.13
39zXa7lVXK8,functions in python,"Jun 17, 2025",1760,63,11.4814,0,1453,0.28
5jdBxUMGGxg,Modern data stack project - marts layer,"Jun 3, 2025",1010,63,2.5831,0,2487,1.41
PP2Il9gSjtw,Logistic regression hands on tutorial with scikit learn,"Jul 30, 2025",1395,63,5.1666,0,1386,1.37
PbkhYu2Vqoo,Hands on KNN using Scikit-learn,"Aug 2, 2025",1341,63,4.99,0,1670,0.9
IksAi_tweL4,Terraform setup for Azure,"Oct 14, 2025",1231,62,4.9153,0,2147,1.21
7uVVS5WbD4E,for statement in python,"Jun 13, 2025",873,61,7.1265,0,1668,0.9
TNX1LuV2Ljs,docker theory intro,"Jan 19, 2025",311,60,2.6182,0,1162,1.12
jwYyLNKikI8,Azure short course  - course structure,"Sep 18, 2025",544,60,1.8953,0,1763,1.25
FHRplWe0Lrk,[ARCHIVED] Grouping data in DuckDB SQL (theory),"Nov 15, 2024",259,58,2.3152,1,1273,1.49
G1a4BYvhkA4,OOP theoretical dive,"Jun 25, 2025",1922,58,2.5004,1,4514,0.8
OgfVQVmzGxU,Data storytelling using matplotlib on line chart,"Apr 21, 2025",1531,57,6.542,2,3470,0.58
Y_-GdedFQJY,Documentation with type hinting and docstrings in Python,"Jun 19, 2025",787,57,4.8004,2,3946,0.38
goe3axFJtO0,tuples in python,"Jun 13, 2025",449,57,3.6251,0,963,1.25
7iWTGOGtXBk,Common table expressions in DuckDB (coding),"Nov 29, 2024",918,54,3.2148,0,1013,1.48
iWxcl63Uq2Q,[ARCHIVED] Working with string and regexp in DuckDB (theory),"Nov 15, 2024",395,54,2.9026,0,873,0.69
d1UKrIrEMnw,Line chart in Taipy part 2 - detailed customizations for storytelling,"May 28, 2025",1565,53,5.0779,1,1066,2.44
9KrueAwOC1Q,Filsystemet för Mac,,802,52,3.9161,0,72,2.78
EV05oEaMyMg,Djupt lärande,,796,52,5.9464,0,36,5.56
qptShAQvNkU,Taipy bar chart with detailed customisations,"Jun 3, 2025",1532,52,3.7423,0,1834,1.42
z0G3KoDryww,dbt transformations of job ads part 3 (coding),"Aug 29, 2024",639,52,2.8861,0,359,1.95
PnSL_CPWKxI,Developing in dbt (theory),"Aug 17, 2024",353,51,2.1045,0,412,0.97
W6MJiAfn0kI,polymorphism,"Jun 23, 2025",2448,50,10.1675,1,1424,0.98
XmNUuzY9OHQ,Data marts to serve the data from a data warehouse (theory),"Aug 17, 2024",188,50,1.4559,0,339,4.42
tpTe9WiK0xU,Different keys in RDBMS,"Mar 9, 2025",927,50,3.7651,0,1970,0.71
cJZrhxz4IP4,Connecting duckdb with Python part 2 (coding),"Sep 16, 2024",929,48,5.2303,0,430,3.49
l7RCoO-G_5A,Course repetition of SQL using DuckDB part 1,"Dec 6, 2024",1598,47,3.2988,0,2205,0.68
ZhjY9nUOs-k,KNN theory and intuition,"Jul 30, 2025",540,46,1.9376,1,5515,0.34
OGEh8wlx-UE,Hands-On Regularization with Scikit-learn,"Jul 27, 2025",1882,45,5.4528,1,1891,0.79
EVw6X1rghAc,Artificial Neural Networks ANN   theory and intuition,"Aug 7, 2025",1188,44,1.2298,1,7373,0.2
j8bOjKMxC_Q,matplotlib basics,"Jun 17, 2025",785,44,2.7106,2,1433,1.19
w0ClMn8IDQg,sets in python,"Jun 13, 2025",556,44,3.8139,0,1894,0.48
gfzlxJHfFtA,dlt to extract and load data from OLTP to a data warehouse (theory),"Aug 17, 2024",277,43,1.4136,0,316,3.8
5jPxg5OQSfg,Introduction to Logistic Regression  Theory,"Jul 29, 2025",842,41,2.8592,0,4395,0.32
MbzCTgxvadw,Understanding Overfitting and Underfitting in Machine Learning,"Jul 24, 2025",618,38,1.1936,2,3555,0.56
XLP_xOaqFVY,Using xlwings lite to create a time planner  for consultiing time part 2 - compute the hours,"Aug 25, 2025",1482,38,2.7427,0,2965,0.78
BwfbC2a019Y,Understanding Decision Trees  Classification and Regression Explained,"Aug 3, 2025",617,36,2.2591,0,1355,0.44
qZ1Ib5H9tJY,OOP streamlit dashboard - part 1 - EDA on the dataset (coding),"Sep 8, 2024",710,36,0.9112,0,340,5.88
JFNTmYiI7PE,Connecting duckdb with Python part 3 (coding),"Sep 16, 2024",1110,35,3.647,0,365,1.64
Ko38vVVauBg,Course repetition of SQL using DuckDB part2,"Dec 6, 2024",1129,35,1.9054,0,1089,1.29
cP1qqaqiXC8,Unit testing with pytest,"Jun 24, 2025",1064,34,2.3963,0,1961,0.71
hocYlT4ixsU,Streamlit dashboard olympic games data OOP approach (coding),"Sep 8, 2024",2313,32,2.2442,0,267,4.12
szKVpybz2Gg,python summary part1 (coding),"Aug 10, 2024",2817,31,2.8579,0,196,4.08
JFL0PDl7Egc,Grid Search and Pipelines for Hyperparameter Tuning,"Aug 3, 2025",1351,29,1.7308,0,4119,0.34
fR3TG3yZZSY,Decision Trees with Scikit Learn  Hands On Coding Session,"Aug 4, 2025",1386,28,1.5492,2,1885,1.11
gzAklBTtxBk,Data driven youtuber part 1 (coding),"Sep 20, 2024",561,19,0.6423,0,280,2.5
uezbqIvvQBk,Understanding K Means Clustering  An Intuitive Guide to Unsupervised Learning,"Aug 7, 2025",538,19,0.4275,0,1880,0.69
bzTptHrZOKk,python conventions,"Jun 18, 2025",701,16,0.8561,0,791,1.14
lfxUmiaNgXM,Enkla andragradsekvationer Ma2,"Feb 14, 2020",221,15,0.3944,0,128,0
Ys1zPifbuyM,Data storytelling for explanatory data analysis using matplotlib,"Aug 18, 2024",2166,14,1.6681,0,249,2.81
f_BBLXUytaU,Streamlit intro for frontend,"Aug 31, 2024",2139,14,0.4083,0,212,1.42
IqV75ndo-b4,Kvadreringsregler och konjugatregler härledningar,"Jun 9, 2019",468,13,0.2894,0,45,17.78
fh5rZY4AVOI,python summary part4 (coding),"Aug 17, 2024",1837,13,0.9651,0,152,1.97
sUOoGio7qd8,Stocks API data processing,"Mar 19, 2024",2531,13,0.6093,0,134,7.46
1QPsShNoX2k,Understanding Regularization: Balancing Bias and Variance,"Jul 24, 2025",636,12,0.6613,0,855,0.82
Y1_P4ZMGLGo,python summary part3 (coding),"Aug 17, 2024",2038,11,1.218,0,147,0.68
fNOUYJzxNTg,python summary part 5,"Aug 18, 2024",1854,10,1.1446,0,155,1.29
nBFPUAAWP4A,Chatbot using eden AI API and streamlit frontend part 2,"Sep 8, 2024",1108,9,0.0901,0,248,1.61
twlOySku1PM,python summary part2 (coding),"Aug 17, 2024",1513,9,0.5989,0,160,1.25
EWd2x3d_7hg,Data driven youtuber part 5 (coding),"Sep 20, 2024",1124,8,0.1202,0,258,1.55
4QyyCbLBAWk,python summary part6,"Aug 18, 2024",1667,7,0.9601,0,161,0.62
WCMH4e-LoRA,Gränsvärden matte 3C,"Sep 22, 2019",424,7,0.0845,0,172,2.91
rt9HUsJSbbY,Data processing repetition,"Aug 18, 2024",889,6,0.1485,0,163,0
39RfkE5M6QQ,Data driven youtuber part 2 (coding),"Sep 20, 2024",910,4,0.0223,0,251,0.8
7Dqqbo06j5Q,Andragradsfunktionens graf,"Feb 14, 2020",231,4,0.0663,0,128,2.34
2xqlDLCK6CQ,PQ formeln,"Feb 14, 2020",278,3,0.0113,0,121,0.83
ie87SBfco9A,Data driven youtuber part 3 (coding),"Sep 20, 2024",1064,3,0.0182,0,244,0.41
GOSbxHuOs8M,Tillämpningar andragradsekvationer,"Feb 14, 2020",211,2,0.0081,0,126,0.79
jz0kthMmsCg,Derivera exponentialfunktion Ma3C,"Nov 8, 2019",260,2,0.0014,0,117,0.85
rFlmpvuORB4,Andragradsfunktion   algebra,"Feb 14, 2020",396,2,0.004,0,125,0.8
eS8Ffveg6kE,Data driven youtuber part 4 (coding),"Sep 20, 2024",524,1,0.0024,0,249,0
